age,salary,years_at_company,job_satisfaction,department,target_column
25,35000,1,3,Sales,0
30,42000,3,4,Engineering,0
45,80000,20,5,Management,0
22,30000,0,2,Sales,1
35,60000,7,4,Engineering,0
29,52000,2,3,HR,0
41,72000,10,4,Management,0
27,48000,1,3,Sales,1
50,90000,25,5,Management,0
31,55000,4,4,Engineering,0
28,47000,2,3,HR,0
26,36000,1,2,Sales,1
38,65000,8,4,Engineering,0
33,58000,5,3,HR,0
24,32000,0,2,Sales,1
48,85000,22,5,Management,0
36,61000,6,4,Engineering,0
40,70000,9,4,Management,0
23,31000,0,2,Sales,1
34,59000,5,3,Engineering,0

# Additional synthetic rows generated programmatically would be better; this is a small example.
